time,air_temperature,burning_index_g,dead_fuel_moisture_1000hr,dead_fuel_moisture_100hr,mean_vapor_pressure_deficit,potential_evapotranspiration,precipitation_amount,relative_humidity,specific_humidity,surface_downwelling_shortwave_flux_in_air,wind_from_direction,wind_speed
2017-09-17,288.64673,37.69173,14.168205,12.277658,1.093566,19.810204,0.5852041,82.01686,0.009524479,214.26477,126.75831,3.3895814
2017-09-24,292.50214,34.93985,14.479806,13.490763,1.4052954,20.915817,7.121938,81.482704,0.011975597,204.30527,130.93126,3.3573577
2017-10-01,286.51074,42.804512,13.354888,10.700751,1.21232,19.363266,0.010204081,70.53427,0.007116756,194.87175,205.31258,4.072932
2017-10-08,288.04187,50.37594,13.576158,13.833942,0.8841245,16.658163,17.342857,85.51504,0.009419527,147.69087,192.47154,5.141568
2017-10-15,285.23984,27.165413,17.483244,20.307413,0.39025775,8.892858,115.32041,94.049095,0.0089261,115.84071,136.62083,4.7088075
2017-10-22,284.0145,40.75188,18.24318,14.81332,0.8991407,16.292349,21.681633,76.98604,0.0065941564,152.93845,209.36949,5.229538
2017-10-29,275.8722,29.142857,20.144575,18.412674,0.27861437,6.713265,20.543367,87.363914,0.004317164,97.42481,252.98714,5.294415
2017-11-05,276.31448,37.473682,19.296562,16.72911,0.21688509,6.0102043,15.456633,85.839096,0.0049486575,90.03438,184.44681,4.934479
2017-11-12,270.76453,33.383457,19.471752,16.822128,0.27017185,5.9530606,2.9316325,81.416756,0.0028747045,79.78733,180.9259,4.3147154
2017-11-19,273.20898,29.774437,19.533192,18.009022,0.22032225,5.2469387,25.064795,85.362946,0.0037090331,83.65714,217.15146,5.6432867
2017-11-26,271.85587,40.609024,19.190226,14.672289,0.43181524,9.269897,0.44132653,77.82964,0.0029053062,93.34253,246.30614,5.9469395
2017-12-03,274.59775,36.263157,17.867992,15.121054,0.5308485,8.617858,0.10102041,78.60086,0.0035779914,89.26488,213.24811,4.139528
2017-12-10,268.63052,46.864662,16.907738,13.97594,0.28120303,7.1362243,1.2979593,70.154465,0.002375005,77.10494,253.8829,7.466703
2017-12-17,268.80762,44.3609,15.961654,13.8145,0.2658217,5.7030616,0.9780612,73.891304,0.0022862297,65.0798,234.97528,5.149302
2017-12-24,271.47336,38.17293,15.195918,13.6517725,0.2457465,5.062245,4.260715,75.18077,0.0028324812,58.245544,189.39421,4.534587
2017-12-31,258.01837,39.135338,16.273901,18.424383,0.09255639,2.2704084,2.1326532,81.50097,0.0010851987,66.13954,266.20407,5.155102
2018-01-07,255.42651,34.022556,17.633944,20.243073,0.08396348,2.4387753,0.81428576,91.53857,0.0010505692,78.71429,265.06876,5.8293233
2018-01-14,265.89526,39.015038,17.50462,16.284855,0.20992482,4.9500003,6.390306,78.6608,0.0026136732,72.26435,207.12354,6.055424
2018-01-21,266.17273,40.902256,17.917294,17.353813,0.20998928,4.752041,9.463265,80.567665,0.0022050806,70.08002,200.91406,6.0986032
2018-01-28,271.9116,42.609024,18.045542,16.058756,0.26020405,6.127041,3.3739796,80.70087,0.0033237915,80.99131,213.12462,5.2546725
2018-02-04,263.1929,41.721806,16.7623,13.566595,0.23590761,6.29949,2.7545917,68.92427,0.0015498925,89.65349,265.50806,6.4218054
2018-02-11,260.86832,21.428572,18.618689,20.968742,0.07111709,2.358163,25.89643,94.490974,0.0017077763,87.83254,236.61545,3.7512355
2018-02-18,266.35532,27.93985,19.573362,18.52782,0.19601503,5.230612,2.259694,90.94715,0.0025312137,105.043076,212.86896,4.3818474
2018-02-25,273.82913,32.63158,21.14157,18.952417,0.30118152,7.7765303,57.25358,81.55413,0.0041099996,95.259186,186.67992,5.692481
2018-03-04,274.11234,33.796993,20.312998,15.9113865,0.4167991,10.299999,13.747449,78.20151,0.003517336,166.94595,179.2449,4.8301826
